Resume,Category
"Python developer skilled in Machine Learning NLP Pandas NumPy Scikit learn TensorFlow","Data Science"
"Java developer experienced in Spring Boot Hibernate SQL REST API development","Java Developer"
"Frontend developer skilled in HTML CSS JavaScript React Angular UI design","Web Developer"
"Data analyst experienced in SQL Excel PowerBI Tableau Python visualization","Data Analyst"
"Software engineer skilled in C++ Java Python Data Structures Algorithms","Software Engineer"
"DevOps engineer experienced in AWS Docker Kubernetes Jenkins CI CD pipeline","DevOps"
"Android developer skilled in Kotlin Java Android Studio Firebase","Mobile Developer"
"Database administrator skilled in Oracle SQL MySQL database management","Database Administrator"
"Cyber security analyst skilled in Ethical Hacking Network Security Linux","Cyber Security"
"HR professional experienced in recruitment payroll employee management","HR"
"Cloud engineer skilled in AWS Azure Cloud Computing Infrastructure","Cloud Engineer"
"UI UX designer skilled in Figma Adobe XD wireframe user research","UI UX Designer"
"Machine learning engineer skilled in Python Deep Learning NLP AI models","Data Science"
"Full stack developer skilled in React Node MongoDB Express MERN","Full Stack Developer"
"Business analyst skilled in requirements gathering documentation Excel SQL","Business Analyst"